      L	   R	        cpu1	        cpu2
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	    15625000	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   1	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	    15625000
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
   2000	   2	           0	           0
