 length	cost1	cost2	        cpu1	        cpu2
  10000	  562	  557	    15625000	           0
  10000	  547	  555	           0	    15625000
  10000	  550	  556	    15625000	           0
  10000	  559	  553	    15625000	    15625000
  10000	  557	  567	           0	    15625000
  10000	  555	  556	    15625000	           0
  10000	  548	  551	    15625000	           0
  10000	  546	  545	           0	    15625000
  10000	  554	  540	    15625000	           0
  10000	  537	  539	    15625000	    15625000
  10000	  555	  571	           0	    15625000
  10000	  553	  563	    15625000	           0
  10000	  553	  551	           0	    15625000
  10000	  554	  565	    15625000	           0
  10000	  550	  559	           0	    15625000
  10000	  553	  555	    15625000	           0
  10000	  576	  567	    15625000	           0
  10000	  553	  548	    15625000	           0
  10000	  571	  549	    15625000	           0
  10000	  536	  554	    15625000	    15625000
  10000	  552	  548	           0	    15625000
  10000	  550	  561	    15625000	           0
  10000	  558	  556	    15625000	    15625000
  10000	  561	  551	           0	    15625000
  10000	  555	  547	    15625000	           0
  10000	  567	  562	    15625000	    15625000
  10000	  547	  552	           0	    15625000
  10000	  549	  542	    15625000	           0
  10000	  541	  559	    15625000	    15625000
  10000	  560	  549	           0	    15625000
  10000	  572	  563	    15625000	           0
  10000	  567	  541	    15625000	    15625000
  10000	  554	  559	           0	           0
  10000	  568	  556	    15625000	           0
  10000	  560	  565	    15625000	    15625000
  10000	  542	  565	           0	    15625000
  10000	  559	  543	           0	    15625000
  10000	  553	  554	    15625000	           0
  10000	  556	  552	           0	    15625000
  10000	  564	  553	           0	    15625000
  10000	  557	  546	    15625000	           0
  10000	  545	  550	    15625000	    15625000
  10000	  547	  546	           0	    15625000
  10000	  558	  556	    15625000	           0
  10000	  542	  543	    15625000	    15625000
  10000	  552	  564	           0	    15625000
  10000	  562	  555	           0	    15625000
  10000	  549	  544	    15625000	           0
  10000	  563	  554	    15625000	    15625000
  10000	  556	  547	           0	    15625000
  10000	  542	  547	    15625000	           0
  10000	  551	  532	    15625000	    15625000
  10000	  550	  552	           0	    15625000
  10000	  540	  560	    15625000	           0
  10000	  560	  553	    15625000	           0
  10000	  558	  553	    15625000	    15625000
  10000	  566	  554	           0	    15625000
  10000	  553	  547	    15625000	           0
  10000	  575	  541	    15625000	           0
  10000	  559	  568	    15625000	    15625000
  10000	  552	  566	           0	    15625000
  10000	  562	  552	    15625000	           0
  10000	  551	  530	    15625000	    15625000
  10000	  565	  551	           0	    15625000
  10000	  556	  542	           0	    15625000
  10000	  536	  568	    15625000	           0
  10000	  553	  549	    15625000	    15625000
  10000	  541	  541	           0	    15625000
  10000	  537	  562	    15625000	           0
  10000	  545	  556	    15625000	           0
  10000	  535	  552	    15625000	    15625000
  10000	  538	  541	           0	    15625000
  10000	  554	  556	    15625000	           0
  10000	  552	  541	    15625000	    15625000
  10000	  538	  552	           0	    15625000
  10000	  555	  553	    15625000	           0
  10000	  550	  565	    15625000	           0
  10000	  549	  547	    15625000	    15625000
  10000	  555	  552	           0	    15625000
  10000	  556	  546	    15625000	           0
  10000	  536	  525	    15625000	           0
  10000	  564	  552	    15625000	    15625000
  10000	  558	  549	           0	    15625000
  10000	  547	  560	    15625000	           0
  10000	  545	  556	    15625000	    15625000
  10000	  559	  549	           0	    15625000
  10000	  554	  554	           0	    15625000
  10000	  553	  556	    15625000	           0
  10000	  532	  558	    15625000	    15625000
  10000	  543	  552	           0	    15625000
  10000	  571	  553	           0	    15625000
  10000	  557	  550	    15625000	           0
  10000	  547	  538	    15625000	    15625000
  10000	  563	  554	           0	    15625000
  10000	  559	  557	    15625000	           0
  10000	  565	  550	    15625000	    15625000
  10000	  546	  564	           0	    15625000
  10000	  566	  547	    15625000	           0
  10000	  549	  546	    15625000	           0
  10000	  555	  528	    15625000	    15625000
 100000	  191	  185	   109375000	    93750000
 100000	  178	  184	   125000000	   109375000
 100000	  184	  186	   109375000	    93750000
 100000	  178	  189	    93750000	   109375000
 100000	  199	  201	   109375000	    93750000
 100000	  218	  203	   109375000	   109375000
 100000	  195	  193	   109375000	   109375000
 100000	  175	  193	   109375000	   109375000
 100000	  214	  182	   109375000	   109375000
 100000	  185	  174	   109375000	   109375000
 100000	  183	  185	   109375000	   109375000
 100000	  194	  190	   109375000	   109375000
 100000	  182	  191	   109375000	   109375000
 100000	  174	  189	   109375000	   109375000
 100000	  201	  199	    93750000	   109375000
 100000	  177	  175	   109375000	   109375000
 100000	  187	  203	   109375000	   109375000
 100000	  183	  181	   109375000	   109375000
 100000	  188	  193	   109375000	   109375000
 100000	  214	  187	   109375000	   109375000
 100000	  198	  188	   109375000	   109375000
 100000	  200	  188	    93750000	   109375000
 100000	  194	  192	   109375000	   109375000
 100000	  192	  180	   109375000	   109375000
 100000	  186	  177	   109375000	   109375000
 100000	  175	  180	   109375000	   109375000
 100000	  186	  172	   109375000	    93750000
 100000	  202	  199	   125000000	    93750000
 100000	  181	  209	   109375000	   109375000
 100000	  177	  171	   109375000	   109375000
 100000	  191	  208	   109375000	   109375000
 100000	  202	  207	   109375000	   109375000
 100000	  192	  200	   109375000	    93750000
 100000	  179	  189	   109375000	   109375000
 100000	  181	  162	   109375000	   109375000
 100000	  174	  196	   109375000	   109375000
 100000	  184	  187	   109375000	   109375000
 100000	  177	  193	   109375000	   109375000
 100000	  189	  192	   109375000	   109375000
 100000	  209	  198	   109375000	   109375000
 100000	  193	  188	   109375000	    93750000
 100000	  192	  200	   109375000	    93750000
 100000	  179	  202	   109375000	   109375000
 100000	  178	  182	   109375000	   109375000
 100000	  186	  174	   109375000	   109375000
 100000	  180	  188	   109375000	   109375000
 100000	  198	  193	   109375000	    93750000
 100000	  187	  196	   109375000	   109375000
 100000	  181	  193	   109375000	   109375000
 100000	  195	  178	   109375000	   109375000
 100000	  181	  184	   109375000	   109375000
 100000	  183	  191	   109375000	    93750000
 100000	  176	  193	   109375000	   109375000
 100000	  195	  208	   109375000	    93750000
 100000	  193	  176	   109375000	   109375000
 100000	  181	  207	   109375000	   109375000
 100000	  198	  190	   109375000	   109375000
 100000	  192	  173	   109375000	   109375000
 100000	  189	  190	   109375000	    93750000
 100000	  198	  186	   109375000	   109375000
 100000	  194	  199	   109375000	   109375000
 100000	  204	  180	   109375000	   109375000
 100000	  190	  186	   109375000	    93750000
 100000	  202	  196	   109375000	   109375000
 100000	  213	  168	   109375000	   109375000
 100000	  186	  174	   109375000	   109375000
 100000	  189	  173	   109375000	   109375000
 100000	  200	  184	    93750000	   109375000
 100000	  202	  182	   109375000	   109375000
 100000	  188	  183	   109375000	   109375000
 100000	  197	  176	   109375000	   109375000
 100000	  197	  190	    93750000	   109375000
 100000	  186	  198	   109375000	   109375000
 100000	  208	  191	   109375000	    93750000
 100000	  180	  187	   109375000	   109375000
 100000	  197	  177	   109375000	   109375000
 100000	  208	  201	   109375000	    93750000
 100000	  195	  194	   109375000	   109375000
 100000	  176	  183	   109375000	   109375000
 100000	  200	  191	   109375000	   109375000
 100000	  189	  191	   109375000	   109375000
 100000	  193	  212	   109375000	    93750000
 100000	  216	  200	   109375000	   109375000
 100000	  201	  213	   109375000	   109375000
 100000	  209	  194	   109375000	    93750000
 100000	  186	  188	   109375000	   109375000
 100000	  185	  181	   109375000	   109375000
 100000	  189	  204	   109375000	   109375000
 100000	  188	  195	   109375000	   109375000
 100000	  188	  191	   109375000	    93750000
 100000	  182	  189	   109375000	   109375000
 100000	  194	  193	   109375000	   109375000
 100000	  196	  185	   109375000	   109375000
 100000	  187	  200	   109375000	   109375000
 100000	  190	  185	   109375000	    93750000
 100000	  198	  193	    93750000	   109375000
 100000	  204	  186	   109375000	   109375000
 100000	  199	  185	   109375000	   109375000
 100000	  186	  186	   109375000	   109375000
 100000	  174	  200	   109375000	   109375000
1000000	   14	   13	  1078125000	  1046875000
1000000	    9	   16	  1078125000	  1062500000
1000000	    6	   14	  1062500000	  1062500000
1000000	   15	   14	  1078125000	  1046875000
1000000	    8	   11	  1093750000	  1046875000
1000000	   10	   21	  1078125000	  1046875000
1000000	   12	    8	  1062500000	  1046875000
1000000	    9	   18	  1078125000	  1046875000
1000000	   14	    6	  1078125000	  1046875000
1000000	   10	   14	  1093750000	  1062500000
1000000	   11	   10	  1062500000	  1062500000
1000000	   12	    9	  1078125000	  1046875000
1000000	   13	    7	  1078125000	  1046875000
1000000	   11	   16	  1062500000	  1062500000
1000000	    8	   12	  1062500000	  1062500000
1000000	    5	   14	  1062500000	  1046875000
1000000	   14	   10	  1078125000	  1062500000
1000000	   17	    7	  1093750000	  1046875000
1000000	    9	   11	  1078125000	  1046875000
1000000	   14	   16	  1078125000	  1046875000
1000000	   13	   13	  1078125000	  1062500000
1000000	   15	   13	  1078125000	  1046875000
1000000	   13	   10	  1078125000	  1062500000
1000000	   15	   10	  1062500000	  1046875000
1000000	   12	    8	  1062500000	  1062500000
1000000	    9	   11	  1062500000	  1062500000
1000000	   11	   14	  1078125000	  1078125000
1000000	   13	   10	  1109375000	  1046875000
1000000	   12	   10	  1078125000	  1062500000
1000000	    6	   13	  1078125000	  1046875000
1000000	   11	   17	  1062500000	  1062500000
1000000	   11	   14	  1078125000	  1031250000
1000000	    9	    9	  1078125000	  1046875000
1000000	   11	   13	  1078125000	  1046875000
1000000	    7	    9	  1078125000	  1046875000
1000000	   10	    8	  1078125000	  1046875000
1000000	   10	   13	  1078125000	  1062500000
1000000	   12	    9	  1078125000	  1046875000
1000000	   11	   10	  1062500000	  1046875000
1000000	    9	   13	  1078125000	  1046875000
1000000	   13	   13	  1078125000	  1062500000
1000000	   16	   10	  1093750000	  1046875000
1000000	   18	   15	  1078125000	  1078125000
1000000	   12	    8	  1062500000	  1046875000
1000000	   14	   11	  1078125000	  1062500000
1000000	   10	   11	  1078125000	  1046875000
1000000	   11	   14	  1078125000	  1046875000
1000000	   15	   16	  1078125000	  1078125000
1000000	   10	    5	  1078125000	  1031250000
1000000	   11	   11	  1078125000	  1078125000
1000000	    4	   11	  1062500000	  1062500000
1000000	   10	   14	  1078125000	  1046875000
1000000	    9	   11	  1078125000	  1046875000
1000000	   14	   11	  1078125000	  1062500000
1000000	   12	   11	  1078125000	  1046875000
1000000	   12	    8	  1078125000	  1046875000
1000000	   11	   12	  1078125000	  1062500000
1000000	   13	   10	  1062500000	  1062500000
1000000	   11	    9	  1078125000	  1062500000
1000000	   10	   12	  1078125000	  1062500000
1000000	   10	   10	  1078125000	  1046875000
1000000	   11	   14	  1078125000	  1062500000
1000000	   17	   12	  1062500000	  1046875000
1000000	   11	    4	  1062500000	  1062500000
1000000	    8	   11	  1062500000	  1046875000
1000000	   16	    9	  1078125000	  1062500000
1000000	    6	    9	  1078125000	  1046875000
1000000	   11	   13	  1078125000	  1046875000
1000000	   14	   13	  1078125000	  1062500000
1000000	   12	    9	  1078125000	  1031250000
1000000	    9	   12	  1078125000	  1046875000
1000000	   11	    8	  1078125000	  1046875000
1000000	   15	   22	  1093750000	  1062500000
1000000	   14	   14	  1062500000	  1062500000
1000000	   15	   14	  1078125000	  1062500000
1000000	   13	   11	  1093750000	  1046875000
1000000	   11	   14	  1078125000	  1062500000
1000000	    8	   12	  1078125000	  1062500000
1000000	   14	   11	  1078125000	  1062500000
1000000	   16	   11	  1078125000	  1062500000
1000000	   11	   13	  1093750000	  1046875000
1000000	    8	   12	  1078125000	  1046875000
1000000	   14	    7	  1078125000	  1046875000
1000000	    8	   14	  1062500000	  1062500000
1000000	   13	   17	  1078125000	  1062500000
1000000	   15	   13	  1078125000	  1046875000
1000000	   11	    7	  1078125000	  1062500000
1000000	   16	    5	  1078125000	  1031250000
1000000	   15	   11	  1093750000	  1062500000
1000000	   18	   15	  1078125000	  1062500000
1000000	   19	    6	  1078125000	  1062500000
1000000	   10	   14	  1078125000	  1062500000
1000000	   12	   12	  1078125000	  1046875000
1000000	    6	   11	  1078125000	  1062500000
1000000	   11	   14	  1078125000	  1062500000
1000000	    9	   14	  1078125000	  1062500000
1000000	    7	   15	  1078125000	  1062500000
1000000	   15	    7	  1078125000	  1062500000
1000000	    9	   10	  1078125000	  1046875000
1000000	   11	   13	  1078125000	  1046875000
