 length	cost1	cost2	        cpu1	        cpu2
  10000	  779	  773	    15625000	           0
  10000	  776	  777	    15625000	           0
  10000	  776	  770	    15625000	           0
  10000	  780	  775	           0	    15625000
  10000	  776	  771	           0	    15625000
  10000	  774	  761	           0	    15625000
  10000	  778	  776	           0	    15625000
  10000	  769	  768	           0	    15625000
  10000	  765	  773	           0	           0
  10000	  777	  773	           0	           0
  10000	  782	  764	    15625000	           0
  10000	  775	  772	    15625000	           0
  10000	  770	  783	    15625000	           0
  10000	  770	  769	           0	    15625000
  10000	  776	  782	           0	    15625000
  10000	  773	  774	           0	    15625000
  10000	  781	  779	           0	           0
  10000	  774	  781	           0	           0
  10000	  770	  780	    15625000	           0
  10000	  778	  773	    15625000	           0
  10000	  777	  778	           0	    15625000
  10000	  775	  778	           0	    15625000
  10000	  778	  775	           0	           0
  10000	  771	  779	    15625000	           0
  10000	  770	  774	    15625000	           0
  10000	  771	  767	    15625000	           0
  10000	  773	  773	           0	    15625000
  10000	  775	  782	           0	    15625000
  10000	  783	  771	           0	           0
  10000	  775	  777	    15625000	           0
  10000	  781	  767	    15625000	           0
  10000	  775	  773	    15625000	           0
  10000	  776	  777	           0	    15625000
  10000	  775	  774	           0	    15625000
  10000	  780	  785	           0	           0
  10000	  775	  780	    15625000	           0
  10000	  780	  770	    15625000	           0
  10000	  773	  779	           0	    15625000
  10000	  770	  782	           0	    15625000
  10000	  776	  765	           0	    15625000
  10000	  771	  778	           0	           0
  10000	  768	  776	    15625000	           0
  10000	  778	  769	    15625000	           0
  10000	  781	  780	           0	    15625000
  10000	  775	  780	           0	    15625000
  10000	  774	  770	           0	           0
  10000	  783	  777	    15625000	           0
  10000	  782	  783	    15625000	           0
  10000	  780	  777	    15625000	           0
  10000	  777	  766	           0	    15625000
  10000	  777	  770	           0	           0
  10000	  770	  768	           0	           0
  10000	  771	  783	    15625000	           0
  10000	  773	  774	    15625000	           0
  10000	  776	  774	           0	    15625000
  10000	  773	  778	           0	    15625000
  10000	  778	  775	           0	           0
  10000	  769	  773	    15625000	           0
  10000	  771	  773	    15625000	           0
  10000	  776	  774	           0	    15625000
  10000	  769	  777	           0	    15625000
  10000	  776	  783	           0	           0
  10000	  773	  769	    15625000	           0
  10000	  776	  780	    15625000	           0
  10000	  777	  776	    15625000	           0
  10000	  773	  769	           0	    15625000
  10000	  777	  774	           0	           0
  10000	  779	  770	           0	           0
  10000	  764	  773	    15625000	           0
  10000	  775	  780	    15625000	           0
  10000	  777	  779	           0	    15625000
  10000	  783	  775	           0	    15625000
  10000	  767	  775	           0	           0
  10000	  767	  771	    15625000	           0
  10000	  784	  773	    15625000	           0
  10000	  776	  769	    15625000	           0
  10000	  779	  771	    15625000	           0
  10000	  774	  771	           0	    15625000
  10000	  788	  789	           0	    15625000
  10000	  771	  764	           0	    15625000
  10000	  780	  775	           0	           0
  10000	  776	  774	    15625000	           0
  10000	  775	  774	    15625000	           0
  10000	  780	  775	           0	    15625000
  10000	  777	  776	           0	    15625000
  10000	  782	  773	           0	           0
  10000	  777	  779	    15625000	           0
  10000	  778	  778	    15625000	           0
  10000	  769	  773	           0	    15625000
  10000	  771	  776	           0	    15625000
  10000	  773	  780	           0	           0
  10000	  775	  776	    15625000	           0
  10000	  776	  775	    15625000	           0
  10000	  775	  775	           0	    15625000
  10000	  766	  775	           0	    15625000
  10000	  772	  776	           0	           0
  10000	  781	  772	           0	           0
  10000	  779	  770	    15625000	           0
  10000	  777	  774	           0	    15625000
  10000	  773	  781	           0	    15625000
 100000	  597	  592	    93750000	    93750000
 100000	  593	  584	   109375000	    93750000
 100000	  581	  572	    93750000	   109375000
 100000	  584	  588	    93750000	    93750000
 100000	  592	  598	    93750000	    93750000
 100000	  546	  601	    93750000	   109375000
 100000	  569	  575	   109375000	    93750000
 100000	  593	  579	   109375000	    93750000
 100000	  588	  581	    93750000	   109375000
 100000	  595	  595	    93750000	    93750000
 100000	  589	  600	    93750000	   109375000
 100000	  596	  607	   109375000	    93750000
 100000	  567	  584	   109375000	    93750000
 100000	  577	  579	    93750000	   109375000
 100000	  569	  587	    93750000	    93750000
 100000	  570	  593	    93750000	    93750000
 100000	  582	  572	    93750000	    93750000
 100000	  585	  593	   109375000	    93750000
 100000	  593	  593	    93750000	    93750000
 100000	  579	  595	   109375000	    93750000
 100000	  595	  588	   109375000	    93750000
 100000	  573	  583	    93750000	   109375000
 100000	  606	  576	    93750000	   109375000
 100000	  582	  590	    93750000	   109375000
 100000	  574	  585	   109375000	    93750000
 100000	  589	  591	   109375000	    93750000
 100000	  587	  567	    93750000	    93750000
 100000	  571	  579	   109375000	    93750000
 100000	  592	  583	    93750000	    93750000
 100000	  599	  596	    93750000	    93750000
 100000	  613	  587	    93750000	   109375000
 100000	  597	  582	    93750000	   109375000
 100000	  599	  599	    93750000	   109375000
 100000	  584	  593	    93750000	   109375000
 100000	  605	  603	    93750000	    93750000
 100000	  593	  580	   109375000	    93750000
 100000	  582	  592	    93750000	    93750000
 100000	  591	  571	   109375000	    93750000
 100000	  587	  599	    93750000	    93750000
 100000	  582	  572	   109375000	    93750000
 100000	  588	  565	   109375000	    93750000
 100000	  581	  589	   109375000	    93750000
 100000	  585	  604	    93750000	   109375000
 100000	  575	  568	    93750000	    93750000
