 length	cost1	cost2	        cpu1	        cpu2
  10000	 6388	 6450	           0	    15625000
  10000	 6467	 6348	    15625000	    15625000
  10000	 6458	 6398	    15625000	           0
  10000	 6372	 6428	           0	    15625000
  10000	 6470	 6435	    15625000	    15625000
  10000	 6483	 6480	    15625000	    15625000
  10000	 6493	 6422	           0	    15625000
  10000	 6234	 6553	    15625000	    15625000
  10000	 6448	 6416	    15625000	    15625000
  10000	 6519	 6367	    15625000	           0
  10000	 6375	 6367	    15625000	    15625000
  10000	 6367	 6344	    15625000	    15625000
  10000	 6459	 6385	    15625000	           0
  10000	 6502	 6476	           0	    15625000
  10000	 6497	 6375	    15625000	    15625000
  10000	 6325	 6409	    15625000	           0
  10000	 6453	 6328	    15625000	    15625000
  10000	 6389	 6331	    15625000	    15625000
  10000	 6427	 6390	    15625000	           0
  10000	 6431	 6554	    15625000	    15625000
  10000	 6405	 6471	    15625000	           0
  10000	 6414	 6368	    15625000	    15625000
  10000	 6365	 6452	    15625000	    15625000
  10000	 6384	 6302	           0	    15625000
  10000	 6327	 6379	    15625000	    15625000
  10000	 6494	 6557	    15625000	    15625000
  10000	 6333	 6365	           0	    15625000
  10000	 6408	 6359	    15625000	    15625000
  10000	 6524	 6474	           0	    15625000
  10000	 6483	 6436	    15625000	    15625000
  10000	 6418	 6515	    15625000	           0
  10000	 6376	 6411	           0	    15625000
  10000	 6464	 6432	    15625000	    15625000
  10000	 6458	 6424	           0	    15625000
  10000	 6427	 6355	    15625000	    15625000
  10000	 6438	 6496	    15625000	           0
  10000	 6348	 6318	           0	    15625000
  10000	 6430	 6439	    15625000	    15625000
  10000	 6494	 6409	    15625000	           0
  10000	 6444	 6467	    15625000	    15625000
  10000	 6497	 6447	    15625000	    15625000
  10000	 6283	 6435	           0	    15625000
  10000	 6419	 6437	    15625000	    15625000
  10000	 6324	 6301	    15625000	           0
  10000	 6301	 6427	    15625000	    15625000
  10000	 6468	 6367	    15625000	           0
  10000	 6370	 6579	    15625000	    15625000
  10000	 6466	 6374	    15625000	    15625000
  10000	 6337	 6421	           0	    15625000
  10000	 6418	 6478	    15625000	    15625000
  10000	 6345	 6494	    15625000	           0
  10000	 6524	 6324	    15625000	    15625000
  10000	 6521	 6425	    15625000	    15625000
  10000	 6412	 6519	           0	    15625000
  10000	 6384	 6414	    15625000	    15625000
  10000	 6371	 6325	    15625000	           0
  10000	 6338	 6481	    15625000	    15625000
  10000	 6380	 6404	    15625000	    15625000
  10000	 6422	 6400	           0	    15625000
  10000	 6586	 6398	    15625000	    15625000
  10000	 6415	 6448	           0	    15625000
  10000	 6498	 6395	    15625000	    15625000
  10000	 6383	 6410	    15625000	           0
  10000	 6375	 6345	    15625000	    15625000
  10000	 6390	 6345	    15625000	    15625000
  10000	 6344	 6339	           0	    15625000
  10000	 6483	 6476	    15625000	    15625000
  10000	 6330	 6398	    15625000	           0
  10000	 6380	 6390	    15625000	    15625000
  10000	 6417	 6459	           0	    15625000
  10000	 6430	 6335	           0	    15625000
  10000	 6457	 6298	    15625000	    15625000
  10000	 6448	 6258	    15625000	           0
  10000	 6501	 6478	    15625000	    15625000
  10000	 6517	 6293	    15625000	           0
  10000	 6346	 6470	    15625000	    15625000
  10000	 6399	 6398	    15625000	    15625000
  10000	 6343	 6285	           0	    15625000
  10000	 6506	 6398	    15625000	    15625000
  10000	 6411	 6548	    15625000	           0
  10000	 6405	 6428	    15625000	    15625000
  10000	 6408	 6476	    15625000	    15625000
  10000	 6508	 6516	           0	    15625000
  10000	 6437	 6406	    15625000	    15625000
  10000	 6365	 6357	    15625000	           0
  10000	 6436	 6407	    15625000	    15625000
  10000	 6386	 6511	    15625000	    15625000
  10000	 6372	 6474	           0	    15625000
  10000	 6351	 6346	    15625000	    15625000
  10000	 6428	 6473	    15625000	           0
  10000	 6478	 6524	    15625000	    15625000
  10000	 6444	 6432	    15625000	           0
  10000	 6501	 6534	           0	    15625000
  10000	 6461	 6404	    15625000	    15625000
  10000	 6567	 6363	           0	    15625000
  10000	 6493	 6428	    15625000	    15625000
  10000	 6476	 6420	    15625000	           0
  10000	 6446	 6434	    15625000	    15625000
  10000	 6363	 6355	    15625000	    15625000
  10000	 6401	 6539	           0	    15625000
 100000	  850	  883	   109375000	   109375000
 100000	  888	  857	   109375000	    93750000
 100000	  961	  903	   109375000	   109375000
 100000	  916	  822	   109375000	    93750000
 100000	  890	  856	   109375000	    78125000
 100000	  892	  907	   109375000	    93750000
 100000	  841	  786	   109375000	   109375000
 100000	  894	  876	   109375000	   109375000
 100000	  916	  880	   109375000	    93750000
 100000	  843	  904	    93750000	   109375000
 100000	  930	  913	   109375000	   109375000
 100000	  905	  858	    93750000	   109375000
 100000	  876	  887	   109375000	   109375000
 100000	  867	  922	   109375000	    93750000
 100000	  927	  918	    93750000	   109375000
 100000	  889	  933	   109375000	   109375000
 100000	  902	  886	    93750000	   125000000
 100000	  862	  859	   109375000	   109375000
 100000	  915	  920	   109375000	    93750000
 100000	  914	  895	   109375000	    93750000
 100000	  904	  954	   109375000	   109375000
 100000	  881	  886	   109375000	    93750000
 100000	  815	  848	   109375000	   109375000
 100000	  900	  882	   109375000	   109375000
 100000	  874	  825	    93750000	   109375000
 100000	  858	  880	   109375000	   109375000
 100000	  888	  885	    93750000	   109375000
 100000	  854	  851	   109375000	   109375000
 100000	  918	  933	   109375000	    93750000
 100000	  947	  892	   109375000	   109375000
 100000	  843	  872	   109375000	    93750000
 100000	  872	  867	   109375000	    93750000
 100000	  881	  872	   109375000	   109375000
 100000	  945	  834	    93750000	   109375000
 100000	  869	  883	   109375000	   109375000
 100000	  913	  921	   109375000	    93750000
 100000	  884	  921	   109375000	   109375000
 100000	  843	  910	   109375000	    93750000
 100000	  845	  897	   109375000	   109375000
 100000	  866	  926	   109375000	    93750000
 100000	  865	  890	   109375000	   109375000
 100000	  900	  876	   109375000	    93750000
 100000	  884	  845	    93750000	   109375000
 100000	  918	  912	   109375000	   109375000
 100000	  887	  840	    78125000	   109375000
 100000	  847	  882	   109375000	   109375000
 100000	  835	  864	    93750000	    93750000
 100000	  952	  866	   109375000	   109375000
 100000	  886	  857	   109375000	    93750000
 100000	  912	  905	   109375000	   109375000
 100000	  865	  905	   109375000	    93750000
 100000	  892	  954	   109375000	   109375000
 100000	  836	  915	   109375000	   109375000
 100000	  936	  898	    93750000	   109375000
 100000	  853	  842	   109375000	   109375000
 100000	  871	  863	   109375000	    93750000
 100000	  856	  906	   109375000	   109375000
 100000	  881	  897	   109375000	    93750000
 100000	  825	  857	   109375000	   109375000
 100000	  882	  882	   109375000	    93750000
 100000	  918	  900	   109375000	   109375000
 100000	  847	  835	   109375000	    93750000
 100000	  860	  913	   109375000	   109375000
 100000	  880	  885	   109375000	   109375000
 100000	  834	  880	    93750000	   109375000
 100000	  890	  839	   109375000	   109375000
 100000	  840	  870	    93750000	   109375000
 100000	  875	  922	   109375000	   109375000
 100000	  872	  898	   109375000	    93750000
 100000	  889	  921	   109375000	   109375000
 100000	  907	  842	   109375000	    93750000
 100000	  890	  888	   109375000	   109375000
 100000	  868	  882	   109375000	    93750000
 100000	  870	  899	   109375000	   109375000
 100000	  887	  887	   109375000	   109375000
 100000	  868	  913	    93750000	   109375000
 100000	  876	  914	   109375000	   109375000
 100000	  881	  884	    93750000	   109375000
 100000	  891	  852	   109375000	   109375000
 100000	  895	  936	    93750000	   109375000
 100000	  881	  859	   109375000	   109375000
 100000	  868	  860	   109375000	    93750000
 100000	  883	  934	   109375000	   109375000
 100000	  949	  880	   109375000	    93750000
 100000	  850	  901	   109375000	   109375000
 100000	  890	  889	   109375000	    93750000
 100000	  882	  917	   109375000	   109375000
 100000	  866	  905	   109375000	    93750000
 100000	  868	  876	   109375000	   109375000
 100000	  892	  956	   109375000	    93750000
 100000	  878	  866	   109375000	   109375000
 100000	  869	  951	   109375000	    93750000
 100000	  911	  870	   109375000	   109375000
 100000	  901	  945	   109375000	    93750000
 100000	  903	  956	    93750000	   109375000
 100000	  929	  856	   109375000	   109375000
 100000	  915	  887	    93750000	   109375000
 100000	  882	  887	   109375000	   109375000
 100000	  882	  919	   109375000	    93750000
 100000	  872	  941	   109375000	   109375000
1000000	   10	   15	  1000000000	   984375000
1000000	   17	    8	  1000000000	   984375000
1000000	    8	    9	   984375000	  1000000000
1000000	   15	   16	  1000000000	   984375000
1000000	   16	   10	  1015625000	   968750000
1000000	   13	   12	  1000000000	   984375000
1000000	   12	    9	  1000000000	   984375000
1000000	   14	   17	  1015625000	   984375000
1000000	   11	    9	  1000000000	   984375000
1000000	    9	   13	  1000000000	   984375000
1000000	   20	   15	  1015625000	   984375000
1000000	   14	   13	  1000000000	   984375000
1000000	   12	    9	  1015625000	  1015625000
1000000	    5	   18	  1015625000	   968750000
1000000	   12	   15	  1000000000	  1000000000
1000000	   12	   15	  1015625000	   984375000
1000000	   15	   13	  1000000000	  1000000000
1000000	   15	   12	  1000000000	   968750000
1000000	   15	   10	  1015625000	   968750000
1000000	   11	   12	  1015625000	   984375000
1000000	   11	   10	  1000000000	   984375000
1000000	    8	   13	  1015625000	   984375000
1000000	   15	   17	  1000000000	   968750000
1000000	   15	   12	  1015625000	   984375000
1000000	   15	   11	  1000000000	   984375000
1000000	   12	   13	  1015625000	   984375000
1000000	   16	   12	  1000000000	   984375000
1000000	    9	   12	   984375000	   968750000
1000000	   13	    9	   984375000	   984375000
1000000	   16	   16	   984375000	  1000000000
1000000	   17	   10	  1000000000	   984375000
1000000	   15	    8	  1000000000	   968750000
1000000	    9	   12	  1000000000	   968750000
1000000	   16	    7	  1000000000	  1000000000
1000000	   13	   14	   984375000	   984375000
1000000	   12	   13	  1000000000	  1000000000
1000000	   15	    8	  1000000000	   984375000
1000000	    9	   11	  1000000000	   984375000
1000000	   14	   17	  1000000000	   984375000
1000000	   14	   11	  1000000000	   984375000
1000000	   10	   17	  1015625000	   984375000
1000000	   11	    9	  1000000000	  1000000000
1000000	   15	   11	  1000000000	   984375000
1000000	   17	   14	  1015625000	   984375000
1000000	   16	   10	  1000000000	   984375000
1000000	   11	   11	  1000000000	   984375000
1000000	   14	   10	  1015625000	   984375000
