   length	     cost1	     cost2	        cpu1	        cpu2
   100000	0.00301470	0.00927426	           0	    15625000
   100000	0.00643305	0.00241450	           0	    15625000
   100000	0.00013706	0.00291827	    15625000	           0
   100000	0.00181617	0.00435627	    15625000	           0
   100000	0.00240572	0.00837240	    15625000	           0
   100000	0.00318254	0.00715073	    15625000	           0
   100000	0.00289051	0.00043091	    15625000	           0
   100000	0.00935620	0.00352579	    15625000	           0
   100000	0.00299597	0.00850132	    15625000	           0
   100000	0.00899135	0.00186732	    15625000	           0
   100000	0.00158929	0.00025785	    15625000	           0
   100000	0.00452947	0.00372596	           0	           0
   100000	0.00804318	0.03765092	           0	           0
   100000	0.00799325	0.00118044	           0	    15625000
   100000	0.00223613	0.00710264	           0	           0
   100000	0.00756350	0.00153060	           0	           0
   100000	0.00250416	0.00015018	    15625000	           0
   100000	0.00894881	0.00971659	    15625000	           0
   100000	0.02201864	0.02503200	    15625000	           0
   100000	0.00602230	0.00514345	    15625000	           0
   100000	0.00705561	0.00054710	    15625000	           0
   100000	0.01298107	0.00549323	    15625000	           0
   100000	0.01406742	0.01145313	    15625000	           0
   100000	0.00312808	0.00309440	    15625000	           0
   100000	0.00548600	0.00496992	    15625000	           0
   100000	0.00864083	0.00091641	    15625000	           0
   100000	0.00809838	0.00218728	    15625000	           0
   100000	0.00695381	0.00400725	    15625000	           0
   100000	0.00955262	0.02915134	    15625000	           0
   100000	0.00036649	0.00801818	           0	    15625000
   100000	0.00750304	0.00226348	           0	    15625000
   100000	0.00604942	0.00044729	           0	    15625000
   100000	0.00006721	0.00134344	           0	    15625000
   100000	0.00587746	0.02306670	           0	    15625000
   100000	0.00084863	0.00669352	           0	    15625000
   100000	0.00698039	0.00167619	           0	    15625000
   100000	0.00082877	0.01534929	           0	    15625000
   100000	0.01889186	0.00380207	           0	    15625000
   100000	0.02236954	0.00256728	           0	    15625000
   100000	0.00050914	0.00020389	           0	    15625000
   100000	0.00766323	0.02016554	           0	           0
   100000	0.01654747	0.00213535	    15625000	           0
   100000	0.00823054	0.01204719	    15625000	           0
   100000	0.00251003	0.00005696	    15625000	           0
   100000	0.00077406	0.01073327	    15625000	           0
   100000	0.00722140	0.00376564	    15625000	           0
   100000	0.00020836	0.00648939	    15625000	           0
   100000	0.01808063	0.00195264	    15625000	           0
   100000	0.01112168	0.00228077	    15625000	           0
   100000	0.00894655	0.00236383	    15625000	           0
   100000	0.00182342	0.00345195	    15625000	           0
   100000	0.00343411	0.00687128	    15625000	           0
   100000	0.00115840	0.00186420	    15625000	           0
   100000	0.01253861	0.00108316	    15625000	           0
   100000	0.00033576	0.00067784	    15625000	           0
   100000	0.00473892	0.00735557	           0	    15625000
   100000	0.00144037	0.00109221	           0	    15625000
   100000	0.00547650	0.00107705	           0	    15625000
   100000	0.00278682	0.00904127	           0	    15625000
   100000	0.00206591	0.00072460	           0	    15625000
   100000	0.01216807	0.00640533	           0	    15625000
   100000	0.00022171	0.01459471	           0	    15625000
   100000	0.02809395	0.00354356	           0	    15625000
   100000	0.00871253	0.02211240	           0	           0
   100000	0.01276174	0.00754072	    15625000	           0
   100000	0.00416871	0.00932635	    15625000	           0
   100000	0.00773887	0.00784580	    15625000	           0
   100000	0.00172969	0.00311525	    15625000	           0
   100000	0.00256792	0.00300093	    15625000	           0
   100000	0.00146783	0.00087226	    15625000	           0
   100000	0.00133345	0.00579360	    15625000	           0
   100000	0.00590244	0.00890205	    15625000	           0
   100000	0.00148710	0.00061546	    15625000	           0
   100000	0.00191422	0.00541609	    15625000	           0
   100000	0.00096395	0.00635257	    15625000	           0
   100000	0.00859481	0.00172107	           0	    15625000
   100000	0.00424378	0.00991763	    15625000	           0
   100000	0.00227614	0.00042518	           0	    15625000
   100000	0.02112361	0.00468272	           0	    15625000
   100000	0.00420823	0.00636559	           0	    15625000
   100000	0.00072846	0.00040420	           0	    15625000
   100000	0.01198385	0.00783592	           0	    15625000
   100000	0.00101329	0.00898089	           0	    15625000
   100000	0.00319490	0.01176726	           0	    15625000
   100000	0.00303722	0.00391118	           0	           0
   100000	0.00562307	0.00477147	           0	           0
   100000	0.00044412	0.00077646	    15625000	           0
   100000	0.00546306	0.01205081	    15625000	           0
   100000	0.00738555	0.00539764	    15625000	           0
   100000	0.00923344	0.00066353	    15625000	           0
   100000	0.01456610	0.00121135	    15625000	           0
   100000	0.00309980	0.00249376	    15625000	           0
   100000	0.00137931	0.00106341	    15625000	           0
   100000	0.00181129	0.00105610	    15625000	           0
   100000	0.00223924	0.00447920	    15625000	           0
   100000	0.02021529	0.01411444	    15625000	           0
   100000	0.00024592	0.00164396	    15625000	           0
   100000	0.00432147	0.00312168	    15625000	           0
   100000	0.01568489	0.00385140	    15625000	           0
   100000	0.01602455	0.00791847	    15625000	           0
  1000000	0.00058309	0.00044419	    93750000	    46875000
  1000000	0.00014717	0.00014862	    93750000	    62500000
  1000000	0.00084454	0.00021496	    78125000	    62500000
  1000000	0.00037970	0.00103567	    78125000	    62500000
  1000000	0.00030778	0.00027167	    78125000	    62500000
  1000000	0.00100257	0.00074925	    78125000	    62500000
  1000000	0.00001318	0.00030688	    78125000	    62500000
  1000000	0.00010805	0.00051874	    78125000	    62500000
  1000000	0.00171342	0.00004676	    78125000	    62500000
  1000000	0.00024461	0.00006215	    78125000	    62500000
  1000000	0.00017561	0.00013657	    78125000	    62500000
