Statistical Analysis: data/onemax.txt
L        	muC1	muC2	muT1	muT2	devC1	devC2	devT1	devT2	N	t-cost	P-cost	t-cpu	P-cpu
    10000	6422.56	6417.28	0.012	0.012	64.6577	68.5078	0.00671	0.00651	100	0.56	0.58	-0.33	0.74
   100000	883.70	888.75	0.106	0.104	29.3001	32.8586	0.00655	0.00807	100	-1.15	0.25	2.25	0.025
  1000000	12.94	12.56	1.005	0.984	3.3929	3.2546	0.00896	0.00874	100	0.81	0.42	16.22	3.4e-38

Statistical Analysis: data/boundmax.txt
L        	muC1	muC2	muT1	muT2	devC1	devC2	devT1	devT2	N	t-cost	P-cost	t-cpu	P-cpu
    10000	553.38	552.11	0.010	0.009	9.3580	8.8374	0.00749	0.00772	100	0.99	0.33	0.87	0.38
   100000	190.90	189.47	0.109	0.106	10.4287	10.1189	0.00440	0.00616	100	0.98	0.33	3.10	0.0023
  1000000	11.57	11.60	1.077	1.055	3.0126	3.1877	0.00863	0.01005	100	-0.07	0.95	16.75	1.7e-39

Statistical Analysis: data/haystack.txt
L        	muC1	muC2	muT1	muT2	devC1	devC2	devT1	devT2	N	t-cost	P-cost	t-cpu	P-cpu
    10000	775.28	774.73	0.006	0.006	4.4723	4.9500	0.00772	0.00762	100	0.82	0.41	0.43	0.67
   100000	585.71	587.15	0.099	0.098	11.7922	11.0594	0.00744	0.00739	100	-0.89	0.37	0.89	0.37
  1000000	179.38	179.29	0.939	0.911	12.1828	13.0286	0.04597	0.03424	100	0.05	0.96	4.88	2.3e-06

Statistical Analysis: data/roots.txt
L        	muC1	muC2	muT1	muT2	devC1	devC2	devT1	devT2	N	t-cost	P-cost	t-cpu	P-cpu
   100000	0.00635	0.00589	0.010	0.005	0.00589	0.00648	0.00762	0.00720	100	0.53	0.60	4.77	3.6e-06
  1000000	0.00057	0.00061	0.080	0.062	0.00055	0.00058	0.00561	0.00373	100	-0.53	0.60	28.07	3.5e-66
 10000000	0.00006	0.00005	0.803	0.614	0.00006	0.00004	0.00891	0.00753	100	1.76	0.08	162.19	5.8e-208
100000000	0.00001	0.00001	8.038	6.144	0.00001	0.00001	0.03443	0.02140	100	-0.38	0.70	467.20	3.1e-260

Statistical Analysis: data/anneal.txt
L      	R   	muT1	muT2	devT1	devT2	N	t-cpu	P-cpu
   2000	   1	0.00016	0.00000	0.00156	0.00000	100	1.00	0.32
   2000	   2	0.00016	0.00031	0.00156	0.00220	100	-0.58	0.56
   2000	   4	0.00016	0.00078	0.00156	0.00342	100	-1.66	0.099
   2000	   8	0.00109	0.00063	0.00401	0.00308	100	0.93	0.35
   2000	  16	0.00187	0.00156	0.00510	0.00471	100	0.45	0.65
   2000	  32	0.00391	0.00328	0.00680	0.00640	100	0.67	0.5
   2000	  64	0.00797	0.00594	0.00785	0.00762	100	1.86	0.065
   2000	 128	0.01594	0.01172	0.00220	0.00680	100	5.90	3.4e-08
   2000	 256	0.03266	0.02281	0.00449	0.00783	100	10.91	5.3e-21
   2000	 512	0.06422	0.04625	0.00491	0.00379	100	28.94	8.1e-71
   2000	1024	0.12906	0.09187	0.00689	0.00557	100	41.99	5.7e-98
   2000	2048	0.25797	0.18328	0.00785	0.00697	100	71.14	1.4e-141
   2000	4096	0.51641	0.36609	0.00781	0.00838	100	131.16	1.1e-193
   2000	8192	1.03031	0.73313	0.00621	0.00615	100	339.90	7.3e-276
  16000	   1	0.00109	0.00031	0.00401	0.00220	100	1.71	0.089
  16000	   2	0.00391	0.00000	0.00680	0.00000	100	5.74	1e-07
  16000	   4	0.00375	0.00359	0.00671	0.00661	100	0.17	0.87
  16000	   8	0.00875	0.00594	0.00780	0.00762	100	2.58	0.011
  16000	  16	0.01656	0.01234	0.00434	0.00640	100	5.46	1.6e-07
  16000	  32	0.03391	0.02453	0.00590	0.00777	100	9.61	5.6e-18
  16000	  64	0.07016	0.05063	0.00902	0.00706	100	17.05	6e-40
  16000	 128	0.13719	0.09750	0.00756	0.00671	100	39.28	1.2e-94
  16000	 256	0.27031	0.19516	0.00753	0.00846	100	66.37	5.3e-136
  16000	 512	0.54094	0.39062	0.00854	0.00444	100	156.18	5.4e-167
  16000	1024	1.08078	0.78109	0.00704	0.00521	100	342.20	5.7e-258
 128000	   1	0.00875	0.00562	0.00780	0.00754	100	2.88	0.0044
 128000	   2	0.01703	0.01203	0.00449	0.00661	100	6.26	3e-09
 128000	   4	0.03391	0.02406	0.00590	0.00783	100	10.04	3.3e-19
 128000	   8	0.06703	0.04859	0.00713	0.00539	100	20.63	8.6e-50
 128000	  16	0.13437	0.09703	0.00769	0.00640	100	37.33	7.6e-90
 128000	  32	0.26953	0.19406	0.00715	0.00775	100	71.55	8.4e-143
 128000	  64	0.53844	0.38781	0.00783	0.00643	100	148.71	3.1e-199
 128000	 128	1.07688	0.77563	0.00529	0.00875	100	294.61	4.4e-224
1024000	   1	0.11672	0.09906	0.00784	0.00744	100	16.34	1.6e-38
1024000	   2	0.23344	0.19937	0.00373	0.00804	100	38.42	4e-76
1024000	   4	0.46563	0.39781	0.00702	0.00783	100	64.49	8.3e-134
1024000	   8	0.93203	0.79531	0.01002	0.00816	100	105.77	6.4e-171
1024000	  16	1.86984	1.59422	0.01707	0.01164	100	133.43	1e-177

